task,contrast,encounter,mean_isc,n_pairs,aligned
nBack,task-baseline,5,0.4167621212163846,10,aligned
nBack,response_time,1,0.5045455787365025,10,aligned
nBack,response_time,2,0.3716448644124844,10,aligned
nBack,response_time,3,0.5085499857194973,10,aligned
nBack,response_time,4,0.45799455273865775,10,aligned
nBack,response_time,5,0.36425448032729985,10,aligned
flanker,incongruent-congruent,1,0.0989300474696257,10,aligned
flanker,incongruent-congruent,2,0.15451356702982594,10,aligned
flanker,incongruent-congruent,3,0.10886848946340158,10,aligned
flanker,incongruent-congruent,4,0.053013314006956205,10,aligned
flanker,incongruent-congruent,5,0.0290799640118025,10,aligned
flanker,task-baseline,1,0.5063826112387706,10,aligned
flanker,task-baseline,2,0.5086144635238962,10,aligned
flanker,task-baseline,3,0.4521293922839377,10,aligned
flanker,task-baseline,4,0.4136980236430281,10,aligned
flanker,task-baseline,5,0.46993238137385107,10,aligned
directedForgetting,neg-con,1,0.23639716283407672,10,aligned
directedForgetting,neg-con,2,0.16471800715212098,10,aligned
directedForgetting,neg-con,3,0.14002892199231695,10,aligned
directedForgetting,neg-con,4,0.17980819441405937,10,aligned
directedForgetting,neg-con,5,0.3176834077752639,10,aligned
directedForgetting,task-baseline,1,0.6182072066407025,10,aligned
directedForgetting,task-baseline,2,0.7102780581529635,10,aligned
directedForgetting,task-baseline,3,0.5426221887172991,10,aligned
directedForgetting,task-baseline,4,0.5146343105777615,10,aligned
directedForgetting,task-baseline,5,0.5518247943893113,10,aligned
directedForgetting,response_time,1,0.48955586967641473,10,aligned
directedForgetting,response_time,2,0.5249338000924231,10,aligned
directedForgetting,response_time,3,0.3790656516039611,10,aligned
directedForgetting,response_time,4,0.38287238907479393,10,aligned
directedForgetting,response_time,5,0.4594263755597977,10,aligned
goNogo,nogo_success-go,1,0.4710145921724159,10,aligned
goNogo,nogo_success-go,2,0.37318697998438,10,aligned
goNogo,nogo_success-go,3,0.32872305021068116,10,aligned
goNogo,nogo_success-go,4,0.40743284400861307,10,aligned
goNogo,nogo_success-go,5,0.29850227362176013,1,aligned
goNogo,nogo_success,1,0.6429109372584633,10,aligned
goNogo,nogo_success,2,0.7135366063078441,10,aligned
goNogo,nogo_success,3,0.6067360472238699,10,aligned
goNogo,nogo_success,4,0.5321341390189411,10,aligned
goNogo,nogo_success,5,0.6105813434061674,1,aligned
goNogo,task-baseline,1,0.6383783317653148,10,aligned
goNogo,task-baseline,2,0.7194058914747636,10,aligned
goNogo,task-baseline,3,0.5939204069394071,10,aligned
goNogo,task-baseline,4,0.61205825948226,10,aligned
goNogo,task-baseline,5,0.6137195804248913,1,aligned
shapeMatching,DDD,1,0.5581092208640428,10,aligned
shapeMatching,DDD,2,0.24701240481748732,10,aligned
shapeMatching,DDD,3,0.4892015086630175,10,aligned
shapeMatching,DDD,4,0.49905388272036644,10,aligned
shapeMatching,DDD,5,0.1872708900197301,6,aligned
shapeMatching,DDS,1,0.5465828577846862,10,aligned
shapeMatching,DDS,2,0.22192700890675257,10,aligned
shapeMatching,DDS,3,0.36013177599821,10,aligned
shapeMatching,DDS,4,0.4059414237242961,10,aligned
shapeMatching,DDS,5,0.16076496107546565,6,aligned
shapeMatching,DNN,1,0.5957774599819411,10,aligned
shapeMatching,DNN,2,0.24929812214918606,10,aligned
shapeMatching,DNN,3,0.450848933983777,10,aligned
shapeMatching,DNN,4,0.5850498006107786,10,aligned
shapeMatching,DNN,5,0.2470951437238905,6,aligned
shapeMatching,DSD,1,0.540814267331829,10,aligned
shapeMatching,DSD,2,0.24712183785198674,10,aligned
shapeMatching,DSD,3,0.41772713901103453,10,aligned
shapeMatching,DSD,4,0.37358733004164124,10,aligned
shapeMatching,DSD,5,0.25953615718383155,6,aligned
shapeMatching,main_vars,1,0.517908987765835,10,aligned
shapeMatching,main_vars,2,0.38916692061040603,10,aligned
shapeMatching,main_vars,3,0.5253217317361947,10,aligned
shapeMatching,main_vars,4,0.5718444641964877,10,aligned
shapeMatching,main_vars,5,0.4185006910365312,6,aligned
shapeMatching,SDD,1,0.5612680415385006,10,aligned
shapeMatching,SDD,2,0.2577403305460092,10,aligned
shapeMatching,SDD,3,0.36979800959325615,10,aligned
shapeMatching,SDD,4,0.45334985485240364,10,aligned
shapeMatching,SDD,5,0.2588509261885249,6,aligned
shapeMatching,SNN,1,0.49782021730862824,10,aligned
shapeMatching,SNN,2,0.2813525008069593,10,aligned
shapeMatching,SNN,3,0.42620302244916075,10,aligned
shapeMatching,SNN,4,0.47465962817461615,10,aligned
shapeMatching,SNN,5,0.35046508752827693,6,aligned
shapeMatching,SSS,1,0.5680007248602251,10,aligned
shapeMatching,SSS,2,0.2464001820557436,10,aligned
shapeMatching,SSS,3,0.41797212217512214,10,aligned
shapeMatching,SSS,4,0.4577200192847693,10,aligned
shapeMatching,SSS,5,0.17498554673067293,6,aligned
shapeMatching,task-baseline,1,0.5725388804021083,10,aligned
shapeMatching,task-baseline,2,0.25239000263077427,10,aligned
shapeMatching,task-baseline,3,0.43078833001893224,10,aligned
shapeMatching,task-baseline,4,0.47655784343584245,10,aligned
shapeMatching,task-baseline,5,0.2252619064408302,6,aligned
shapeMatching,response_time,1,0.5311717171982555,10,aligned
shapeMatching,response_time,2,0.1932999229685674,10,aligned
shapeMatching,response_time,3,0.4363558788962334,10,aligned
shapeMatching,response_time,4,0.44430866141470027,10,aligned
shapeMatching,response_time,5,0.1412054631889068,6,aligned
stopSignal,go,1,0.6703502397330041,10,aligned
stopSignal,go,2,0.7450643909020138,10,aligned
stopSignal,go,3,0.6046941700299993,10,aligned
stopSignal,go,4,0.6381422662638354,10,aligned
stopSignal,go,5,0.4573306117061849,10,aligned
stopSignal,stop_failure-go,1,0.6524376652886785,10,aligned
stopSignal,stop_failure-go,2,0.6879477312673506,10,aligned
stopSignal,stop_failure-go,3,0.42732992191551283,10,aligned
stopSignal,stop_failure-go,4,0.6457812820036983,10,aligned
stopSignal,stop_failure-go,5,0.533718303784541,10,aligned
stopSignal,stop_failure,1,0.6998238274843092,10,aligned
stopSignal,stop_failure,2,0.7488102977537011,10,aligned
stopSignal,stop_failure,3,0.6057111878964092,10,aligned
stopSignal,stop_failure,4,0.6471627588923194,10,aligned
stopSignal,stop_failure,5,0.5482348778058992,10,aligned
stopSignal,stop_failure-stop_success,1,0.34349011275618246,10,aligned
stopSignal,stop_failure-stop_success,2,0.30353336515648277,10,aligned
